FrameNumber,FrameURL,networkID,lane,latitude,longitude,gps_curvature
10,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000010.jpg,10009,L1,-37.69812186,175.22420359999998,-0.0003857430346762554
10,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000010.jpg,10009,L1,-37.69781016,175.2243687,-0.000385977357544482
10,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000010.jpg,10009,L1,-37.72337532,175.2305309,-0.00020974141221248926
11,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000011.jpg,10009,L1,-37.69812944,175.22432158,-0.0003843314532433961
11,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000011.jpg,10009,L1,-37.69781774,175.22448668,-0.0003859773268190407
11,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000011.jpg,10009,L1,-37.723382900000004,175.23064888000002,-0.00021125069807588118
12,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000012.jpg,10009,L1,-37.69814742,175.22443712,-0.0003310722966328619
12,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000012.jpg,10009,L1,-37.69781138,175.2245718,-0.0003310735540581958
12,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000012.jpg,10009,L1,-37.7233829,175.23064888000002,-0.00033097783241947904
13,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000013.jpg,10009,L1,-37.69814742,175.22443712,-0.0003310722966032775
13,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000013.jpg,10009,L1,-37.697811380000005,175.22457179999998,-0.00033107355402796373
13,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000013.jpg,10009,L1,-37.723382900000004,175.23064888,-0.0003309778323892232
14,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000014.jpg,10009,L1,-37.69814742,175.22443712,-0.0003310722966358226
14,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000014.jpg,10009,L1,-37.697811380000005,175.2245718,-0.0003310735540610467
14,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000014.jpg,10009,L1,-37.723382900000004,175.23064888,-0.00033097783242232805
15,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000015.jpg,10009,L1,-37.69814742,175.22443712,-0.000310352449238763
15,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000015.jpg,10009,L1,-37.69779778,175.22456110000002,-0.00031048057424964363
15,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000015.jpg,10009,L1,-37.72338666,175.23066002000002,-0.00020015364855696346
16,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000016.jpg,10009,L1,-37.698132900000004,175.22451691999999,0.00016160095043887541
16,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000016.jpg,10009,L1,-37.689952899999994,175.21876795999998,0.0003273157572998229
16,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000016.jpg,10009,L1,-37.715174780000005,175.22496902,-0.00027456877269688775
16,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_24_11_2025/video_7608442085/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_7608442085-0000016.jpg,10009,L1,-37.71554178,175.22486687999998,-0.0002730825909077242
17,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000017.jpg,10009,L1,-37.689934619999995,175.21883662,0.00032925108151575977
17,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000017.jpg,10009,L1,-37.707351669999994,175.21909455,0.0003499401055183836
17,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000017.jpg,10009,L1,-37.71518203000001,175.22496748999998,-0.001309747656295583
17,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_24_11_2025/video_7608442085/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_7608442085-0000017.jpg,10009,L1,-37.71554903,175.22486535000002,-0.0002730825672046874
18,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000018.jpg,10009,L1,-37.68994187,175.21883509,0.00032959331700571615
18,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000018.jpg,10009,L1,-37.70736617,175.21909148999998,0.00035030064055876386
18,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000018.jpg,10009,L1,-37.715189280000004,175.22496596000002,-0.0013112793817715918
18,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_24_11_2025/video_7608442085/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_7608442085-0000018.jpg,10009,L1,-37.71555628,175.22486382,-0.00027308254362895567
