FrameNumber,FrameURL,networkID_x,lane_x,latitude,longitude,gps_curvature,networkID_y,lane_y,loc
8,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000008.jpg,10009,L1,-37.72336138,175.23049804,-0.0003897023658315,10009,R1,43.41638194895518
9,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000009.jpg,10009,L1,-37.69812186,175.22420359999998,-0.0003898050412473,10009,L1,60.712977977779765
9,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000009.jpg,10009,L1,-37.69812186,175.22420359999998,-0.0003898050412473,10009,R1,49.91254823219794
9,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000009.jpg,10009,L1,-37.69782056,175.22436625999998,-0.0003898062664378,10009,L1,60.712977977779765
9,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000009.jpg,10009,L1,-37.69782056,175.22436625999998,-0.0003898062664378,10009,R1,49.91254823219794
9,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000009.jpg,10009,L1,-37.72336137999999,175.23049804,-0.0003897023658315,10009,L1,60.712977977779765
9,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000009.jpg,10009,L1,-37.72336137999999,175.23049804,-0.0003897023658315,10009,R1,49.91254823219794
10,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000010.jpg,10009,L1,-37.69812186,175.22420359999998,-0.0003857430346762,10009,L1,60.712977977779765
10,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000010.jpg,10009,L1,-37.69812186,175.22420359999998,-0.0003857430346762,10009,R1,56.40870663827551
10,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000010.jpg,10009,L1,-37.69781016,175.2243687,-0.0003859773575444,10009,L1,60.712977977779765
