FrameNumber,networkID,lane,latitude,longitude,loc,gradient,crossfall,curvature
81,10009,R1,-37.7031461,175.2090992,96.86140119697382,0.2,2.6,-1667.0
82,10009,L1,-37.698522627833334,175.2171265656667,0.0,-0.6,0.20000000000000004,-35.0
82,10009,R1,-37.702988875,175.209170625,115.43899932100592,0.2,2.6,-2141.0
83,10009,L1,-37.6985750223,175.21712413136666,0.0,-0.6,0.20000000000000004,-35.0
83,10009,R1,-37.70283165,175.20924205,134.0166019546034,0.2,2.9,-2725.0
84,10009,L1,-37.6986274168,175.21712169703332,0.0,-0.6,0.20000000000000004,-35.0
84,10009,R1,-37.702674425,175.209313475,152.59420909576178,0.1,3.1,-3333.0
85,10009,L1,-37.6986798113,175.21711926269998,0.0,-0.6,0.20000000000000004,-35.0
85,10009,R1,-37.7025172,175.2093849,171.17182074589635,0.2,3.1,-1876.0
86,10009,L1,-37.69895953333333,175.21714,0.0,-0.6,0.20000000000000004,-35.0
86,10009,R1,-37.7025172,175.2093849,171.17182074589635,0.2,3.1,-1876.0
87,10009,L1,-37.69901705833333,175.21713286666667,0.0,-0.6,0.20000000000000004,-35.0
87,10009,R1,-37.7023681791,175.2094492708,188.6832018541098,0.2,3.1,-1580.0
88,10009,L1,-37.699074583333335,175.21712573333332,0.0,-0.6,0.20000000000000004,-35.0
88,10009,R1,-37.7022191583,175.2095136416,206.19457612265086,0.2,3.4,-2141.0
89,10009,L1,-37.69913210833334,175.21711860000002,0.0,-0.6,0.20000000000000004,-35.0
89,10009,R1,-37.7020701374,175.2095780124,223.70596459333206,0.2,3.0,-2725.0
90,10009,L1,-37.69918963333333,175.21711146666667,0.0,-0.6,0.20000000000000004,-35.0
90,10009,R1,-37.7019211166,175.2096423832,241.21734622572706,0.2,2.7,-4292.0
91,10009,L1,-37.699520666666665,175.2171416333333,0.0,-0.6,0.20000000000000004,-35.0
91,10009,R1,-37.7018845,175.2096582,245.52014907678236,0.2,2.7,-4292.0
92,10009,L1,-37.699578466666665,175.21712856666667,0.0,-0.6,0.20000000000000004,-35.0
92,10009,R1,-37.701674875,175.209747875,270.12834829113103,0.2,2.9,-2725.0
93,10009,L1,-37.699636266666666,175.2171155,0.0,-0.6,0.20000000000000004,-35.0
93,10009,R1,-37.70146525,175.20983755,294.7365546575399,0.2,2.5,-2500.0
94,10009,L1,-37.699694066666666,175.21710243333334,0.0,-0.6,0.20000000000000004,-35.0
94,10009,R1,-37.701255625,175.209927225,319.34476817742853,0.2,2.7,-2141.0
95,10009,L1,-37.699751866666666,175.21708936666664,0.0,-0.6,0.20000000000000004,-35.0
95,10009,R1,-37.701046,175.2100169,343.9529888507336,0.1,2.9,-2000.0
96,10009,L1,-37.70000136666667,175.2171139666667,0.0,-0.6,0.20000000000000004,-35.0
96,10009,R1,-37.701046,175.2100169,343.9529888507336,0.1,2.9,-2000.0
97,10009,L1,-37.700074084533334,175.21709104203333,0.0,-0.6,0.20000000000000004,-35.0
97,10009,R1,-37.700897226,175.2100815781,361.44720511288983,0.0,2.4,-2141.0
