FrameNumber,networkID,lane,latitude,longitude,loc,gradient,crossfall,curvature
30,10009,L1,-37.7106453717,175.2073832451,0.0,-0.6,0.2,-35.0
31,10009,L1,-37.7497483,175.2366098,0.0,-0.6,0.2,-35.0
31,10009,L1,-37.6217394,175.2070446,0.0,-0.6,0.2,-35.0
31,10009,L1,-37.7107053,175.2073754,0.0,-0.6,0.2,-35.0
32,10009,L1,-37.7497483,175.2366098,0.0,-0.6,0.2,-35.0
32,10009,L1,-37.6217394,175.2070446,0.0,-0.6,0.2,-35.0
32,10009,L1,-37.71085765,175.207370175,0.0,-0.6,0.2,-35.0
33,10009,L1,-37.7497483,175.2366098,0.0,-0.6,0.2,-35.0
33,10009,L1,-37.6217394,175.2070446,0.0,-0.6,0.2,-35.0
33,10009,L1,-37.71101,175.20736495,0.0,-0.6,0.2,-35.0
34,10009,L1,-37.7497483,175.2366098,0.0,-0.6,0.2,-35.0
34,10009,L1,-37.6217394,175.2070446,0.0,-0.6,0.2,-35.0
34,10009,L1,-37.71116235,175.207359725,0.0,-0.6,0.2,-35.0
35,10009,L1,-37.7497483,175.2366098,0.0,-0.6,0.2,-35.0
35,10009,L1,-37.6217394,175.2070446,0.0,-0.6,0.2,-35.0
35,10009,L1,-37.7113147,175.2073545,0.0,-0.6,0.2,-35.0
36,10009,L1,-37.7497483,175.2366096,0.0,-0.6,0.2,-35.0
36,10009,L1,-37.6220293,175.2067222,0.0,-0.6,0.2,-35.0
36,10009,L1,-37.7113147,175.2073545,0.0,-0.6,0.2,-35.0
37,10009,L1,-37.7497483,175.2366096,0.0,-0.6,0.2,-35.0
37,10009,L1,-37.6220293,175.2067222,0.0,-0.6,0.2,-35.0
37,10009,L1,-37.7113147,175.2073545,0.0,-0.6,0.2,-35.0
38,10009,L1,-37.7497483,175.2366096,0.0,-0.6,0.2,-35.0
38,10009,L1,-37.6220293,175.2067222,0.0,-0.6,0.2,-35.0
38,10009,L1,-37.7113147,175.2073545,0.0,-0.6,0.2,-35.0
39,10009,L1,-37.7497483,175.2366096,0.0,-0.6,0.2,-35.0
39,10009,L1,-37.6220293,175.2067222,0.0,-0.6,0.2,-35.0
39,10009,L1,-37.7113147,175.2073545,0.0,-0.6,0.2,-35.0
40,10009,L1,-37.7497483,175.2366096,0.0,-0.6,0.2,-35.0
40,10009,L1,-37.6220293,175.2067222,0.0,-0.6,0.2,-35.0
40,10009,L1,-37.7113147,175.2073545,0.0,-0.6,0.2,-35.0
41,10009,L1,-37.7497483,175.2366095,0.0,-0.6,0.2,-35.0
